파일명,컬럼명,전체 데이터 개수,데이터 타입,NaN 개수,최빈값,최빈값 빈도,2번째 최빈값,2번째 최빈값 빈도,3번째 최빈값,3번째 최빈값 빈도,고유값 개수
p1,아이디,1000,object,1,elp0***,11,VVzWQnlu,5,FVKh2hDG,5,825
p1,리뷰어 등급,1000,object,518,상위 10%,92,상위 15%,89,상위 5%,88,8
p1,작성 날짜,1000,object,1,24.06.03,18,24.05.09,18,24.07.02,15,224
p1,옵션1,1000,object,1,(롱ver)아이보리,315,아이보리,209,(롱ver)블랙,119,35
p1,옵션2,1000,object,1,one size,965,L,31,One Color size,3,3
p1,상품 사이즈,1000,object,1,정사이즈예요,920,작아요,56,생각보다 커요,23,3
p1,퀄리티,1000,object,1,아주 만족해요,575,보통이에요,409,별로예요,15,3
p1,색감,1000,object,1,화면과 비슷해요,985,화면보다 어두워요,12,화면보다 밝아요,2,3
p1,키,1000,object,61,160cm,111,158cm,88,163cm,83,28
p1,몸무게,1000,object,67,50kg,107,48kg,89,52kg,81,39
p1,사이즈,1000,object,83,상의 55,512,상의 44,273,상의 66,117,6
p1,리뷰내용,1000,object,1,"완전 만족해서 20만원어치 산것같아요. 제발 같은 퀄리티로 계속 생산해주세요ㅠㅠ 이걸로 정착하고싶은데 혹시나해서 블랙이랑 아이보리는 완전 쟁여놨어요ㅠㅠ 
패드는 좀 단단한 편이고 저는 원래 완전 소프트한거 선호하는데 그래도 튀는거없고 불편한것도없어서 정착할거ㅛ같아오",10,좋아요!!! 나시 탑이 필요했는데 너무 싼티나는 건 싫고 특히 캡 모양이 그대로 드러나는 게 별로라고 생각해서 이것 저것 찾아봤었어요. 그런데 캡도 괜찮고 재질도 부드럽고 색도 다양해서 여러가지 색을 다 쟁여놔버렸네요. 후회 안합니다!! 숏이랑 롱 둘다 샀는데 숏은 하이웨이스트 입으면 살 안 보일 정도입니다 롱은 그냥 적당히 긴 티셔츠 길이라고 생각하시면 될 것 같아요 일단 많이 입어보고 좋으면 나중에 또 살 생각이에요 가격도 착하니까요!!,5,"핏 너무 예쁘고 라인도 너무 잘 빠져서 완전 마음에 들어요.
재질도 부들부들해서 좋습니당!!

아쉬운 점은 보풀이 너무 금방 생겨요ㅠㅠ
한 번만 빨아도 어? 싶을 정도로 생기는데
두번 세탁하니까 아.. 못 입겠다 싶을 정도로 생겨버립니다ㅠㅠ

결국 두번 입고 재구매했어요.
여름에는 땀을 많이 흘려서 세탁이 잦은데 보풀이 너무 빨리, 심하게 생기니 거의 일회용 느낌이라 아쉬워요ㅠㅠ
그래도 핏이 너무 마음에 들어서 재구매 하게 되네요.

재질이 보완되면 좋겠어요.
그래도 한철은 입어야 하지 않을까요..?ㅠㅠ",4,919
