아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
뽈그랑삐,상위 10%,24.08.04,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,49kg,상의 55,프로필 촬영때 입으려고 샀는데 잘 산 것 같아요! 리뷰가 많은 이유가 있네요! 특히 블루그레이색 보고 바로 반해서 구매 눌렀어요...🤍💙 여리여리해보이고 여성스러워보여서 만족합니당ㅎㅎ여름동안 잘 입고 다닐게요 >_<
영케이,,24.07.13,Pink,Free,작아요,보통이에요,화면과 비슷해요,160cm,70kg,상의 66,"옷은 죄가 없어요....ㅠㅠ 후들후들 재질이라 여름에도 가능! 하지만 66~77 사이의 분들은 하비일 경우엔 추천이나 상비는 비추천이에요
특히 가슴 크신 분들은 더더욱이요! 아무래도 붙는 티다 보니까 부각이 되더라구요ㅠㅠ 디자인 진짜 예쁜데... 입고 싶은데.. 반품 해야겠죠.. 살빼고 입을까... 뺄수 있을까.."
w529Kyai,,24.11.29,Pink,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,55kg,상의 66,"해외여행가서 입으려고 처음으로 오프숄더 옷을 사봤어요
옷 재질도 너무 부드럽고 허리 라인을 잡아줘서 몸매 보완도 돼서 너무 좋았어요
어깨도 너무 크게 노출이 안 돼서 저처럼 처음 입는 사람에게 부담스럽지 않아서 더 좋았습니다:)"
sb01******,상위 15%,24.11.27,Pink,Free,,,,,,,"색상도 핏도 너무 맘에들어요!
웜쿨 가리지않고 잘어울릴 핑크색이라 여행가서 잘입었고 생각보다 비침이없어서 안에 이너안입어도 괜찮았어용 
팔뚝살이 커버되는느낌이라 사진찍고 너무 만족햇답니다 ,,, 긴팔버전입어보고 반팔도 사본건데 둘다 짱짱 만족해요 !!!!"
드래곤,상위 5%,24.11.15,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,48kg,상의 55,"✨️톤다운된 물빠진 하늘그레이 색상으로 흰색 하의랑 매치하면 차분하고 너무 예뻐요! (가을웜톤인데 찰떡이었어요)

✔️ 소재는 여리여리 촤르르한 얇은 니트로 구김없는 대신 조심스럽게 세탁해야할 소재에요.

✔️ 생각보다 오프숄더로 예쁜 핏을 만들기 어려웠는데 여행지에서도 예쁘게 입었어요! 보트넥도 예쁜 것 같아요.

✔️ 적당히 배꼽 가려주는 기장감이라 굳이 넣어입지 않아도 예쁘게 입을 수 있어요. 개인적으로는 빼입 추천!!"
dBCEbqyp,상위 15%,24.10.07,Pink,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,48kg,상의 55,"쫀쫀한 소재랑 색감은 화면과 동일하고 만족스러워요! 
엄청 쫀쫀해서 타이트하게 붙는건 아니라서 골지 느낌으로 여성스럽게 보이기 좋은거 같아요
옆부분 셔링 때문에 살짝 허리가 보이는데 부담스러운 길이는 아니고 오히려 셔링 모양 잡히면서 타이트하지 않게 노출되는거라 허리 가늘어보여요
어깨가 양쪽 다 노출되는게 아니라서 옷매무새 잡는거 덜 신경쓰이고 어깨라인이 더 예뻐보이는거 같아요
여리여리한 컬러가 많아서 캐주얼한 옷으로 청순 무드 내고 싶을 때 좋은거 같습니다!"
쏘승,상위 10%,24.09.29,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,175cm,64kg,상의 66,쫀쫀한데 또 너무 꽉 끼지는 않는 옷이라 좋아요 가격에 비해 원단이 탄탄한 것 같습니다! 그리고 적당히 라인을 잡아주는데 불편하지 않고 신기하게도 여리여리한 느낌을 내줘요 키도 크고 뼈대가 굵은 편이라 그런 느낌 내기가 어려운데 이 옷은 해내네요!! 넘 만족하며 입고 있습니다ㅎㅎ 이 옷이 넘 맘에 들어서 추워지지 않았으면 좋겠어요ㅠㅠ
soje******,상위 20%,24.09.28,Cream,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,62kg,상의 66,"⭐️일단 주목⭐️
제 스펙 위에 보이시죠? 굉장한 뚱뚠이입니닷!!
하지만 사진 보이세요?!
진짜 핏이 핏이 핏이!! 장난아니에요ㅠㅠㅠ
뚱뚠이도 만족하면서 입은 ‘첫’ 오프숄더 티입니당

🤍색상🤍
피부가 하얀 편이라 밝고 부드러운 색상이
너무 잘어울려서 친구에게 극찬을 받았고
심지어 늘어나서 뱃살도 다 커버가능했어요 휴~
부드러운 크림 컬러라 흔한 청바지랑 같이 매치해도
너무 찰떡인 거 보이세욧?!🫶

💛소매💛
소매 모양도 팔뚝이 어느정도 여리해보이는
착각을 불러일으키는 컷이라 그것두 너무 만족이였어요!
🧡길이🧡
오프숄더인데 크롭까지 되었다면 너무 부담이였을 것 같은데 ‘적당한 기장’ 이였어서 상황에 따라 넣어입어두 되지만 밖으로 빼서 입었을때 진가를 발휘하는 제품!!!

❤️디테일❤️
앞 뒤 구분하시기 어려우면!
앞부분은 옆구리쪽에 이쁜 ’셔링‘ 이 들어가있어용
셔링 들어간쪽이 무조건 앞으로
요즘 티셔츠 셔링에 빠져있었는데
마침 셔링 디테일이 있어서 더더더 만족!

=> 오프숄더티 사실거라면 무조건 여기서‼️❤️
ps. 지그재그 뚠뚠이 애용인으로써…!!! 진심을 다해 작성해봅니당.."
jPOHzN9e,,24.09.26,Blue Gray,Free,정사이즈예요,보통이에요,화면과 비슷해요,166cm,53kg,상의 55,"딱 꾸안꾸로 가기 예뻐요 !! 꾸꾸도 가능할 것 같구요
아주 만족입니다 ♥ 색도 예뻐서 피부 밝아보여요
예뻐서 두번 정도 더 입었어요 가을에도 이 위에 자켓 걸쳐주면 더 입을 수 있을것같아요 어깨 보이는 디테일도 핏이 예뻐요"
