아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
오또쇼,상위 5%,24.02.15,긴팔/White,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,51kg,상의 55,"소재
팔랑팔랑 부드럽고 가벼움.
구겨져도 주름자국이 남지 않음.
보풀이 나지 않음!!
스타킹처럼 쭉쭉 늘어나고 줄어듦. 본인 체형에 맞춰서 쫀쫀하게 붙음.

기장
크롭기장.
팔을 높게 들면 옷이 많이 올라감.
(2,3번째 사진은 트레이닝 바지를 일반 바지처럼 내려 입고 팔을 들어봄)
아무리 당겨 내려도 다시 스멀스멀 올라가고 부드러워서 말려 올라가기 때문에 바지 안에 넣어입긴 힘듦.
넥이 많이 파여 있어서 부담스러울 수 있음. 노출에 민감하다면 추천하지 않음. 당기면 잘 늘어나는 소재라 예상보다 파임이 큼.
네번째 사진처럼 숙이면 넥부분이 떠서 안이 보일 수 있음 주의.

색상
노란끼가 하나도 없는 완전한 화이트 색상
진한 속옷은 비침이 있음.

착용감
파임, 노출은 좀 신경쓰이지만 정말 편안함!
쫀쫀하게 붙어서 라인이 살아서 넘 예쁨

다섯번째 사진 보면 바지랑 입었을 때 밑부분이 말려서 옷 안으로 들어간 적이 있음.(주의) 크롭이긴 한데 애매해서 당기면 잘 늘어나서 바지 안에 넣어 입을 순 있으나 튀어나옴
마른 분들은 몸통 밑 부분이나 팔 부분이 완전 쫀쫀히 붙진 않고 약간 널널하게 주름이 짐.

총평
노출, 딱 붓는 핏 좋아하신다면 완전 추천!!
반팔 버전 2년 동안 입었는데 아무리 많이 입고 세탁기로 대충 빨아도 옷이 헤지거나 보풀 피거나 늘어지거나 하지 않음.. 그리고 진짜 대박 편하고 가벼움.

긴 팔이라 그런지 반팔과는 다르게 팔 부분에 주름이 많이 지고 어깨와 겨드랑이 부분 핏이 예쁘진 않음.. 특히 겨드랑이 부분이 옷 정리하고 가만히 있어도 주름져서 별로임
그래도 정말 편하고 소재가 좋고 가디건 같은 다른 옷 안에 받쳐입기 좋음! 봄가을 이너템으로 딱임!! 이 옷 반팔버전 잘 입었다면 봄가을템으로 이거 하나 갖고 있기 좋음! 추천합니다"
tzPwuNlP,,23.03.31,긴팔/White,,정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,58kg,상의 55,"지니 티셔츠 반팔도 너무 잘 입었어서 긴팔도 구매했어요!
반팔도 한여름에 자주 입었었는데, 퀄리티 좋아서 그런지 보풀이나 헤짐도 없고 핏도 예뻐요
기본티 여러장 사도 좋지만, 좋은거 하나 갖고있는게 더 든든한 것 같아요 ㅎㅎ 
팔뚝살 부담스러우신 분들은 크롭 후드집업이나 가디건 매치해서 입어도 넘 좋을것 같아요!"
3821**,상위 20%,22.06.21,"(묶음 1,000원할인) White+Black",free,작아요,보통이에요,화면과 비슷해요,160cm,54kg,상의 66,"전형적인 통통이인데 요즘 살 좀 빠졌다고 살까말까 고민 수백번 하다가 많이 작으면 이너로 입으려고 구매했어요,,

결론적으로 화이트가 더 쫀쫀하고 예쁩니다ㅜ 먼가 블랙은 별로였어요 내복같은 ..? 화이트만 살걸 그랫어요ㅜㅜ 

제가 가슴도 큰편이고 (75E) 팔뚝살도 많은데 팔뚝살 그렇게 부각되지도 않고 딱 핏되게 맞아요 

비침은 심합니다 매우 얇아서 흰브라 입어도 비춰요! 그래도 너무 예쁩니다ㅜ 뭔가 제가 이런 옷 입을 수 있다는게 신기,,, 해요! 블랙은 팔뚝살 올려요 ㄹㅇ그렇게 부각 안되요ㅠㅠㅠ 꼭 사세요 통통이들 강추! 

직진배송이라 하루도 안되서 배송왔어요 짱짱~!"
LiTpmZut,상위 30%,22.06.13,White,free,작아요,보통이에요,화면과 비슷해요,160cm,58kg,상의 66,"당연히 꽉 쫑길거 알고 샀지만 막상 입으니 더 현타가 오긴 한데 ,, 어쩌겠어요 이게 내 몸인걸 ㅠ ~ 마른 사람들이 입으면 팔도 여리여리하게 넘 예쁠 것 같지만 꽉차는 제 팔뚝도 꽤나 .. 멋지네요 !
안에 스킨톤 브라 입은 사진들이고 생각한 것 만큼 많이 비치진 않아서 다행이네요 쫀쫀하게 딱 붙고 좋아요 사알짝 더 크롭이였으면 더 좋았을 것 같긴 한데 뭐 괜찮아요 아참 그리고 바스트가 있어서 그런건지 어깨가 넓어서 그런건지 모르겠지만 생각보다 더 엄청난 U넥이라 조곰 놀랬긴 하지만 ?? 예쁘게 잘 입겠습니당"
IOMtkmMO,,22.03.07,Black,free,정사이즈예요,보통이에요,화면과 비슷해요,169cm,58kg,상의 55,비슷하게 생긴 옷들 오십개는 갖고있지만 제가 가장 좋아하는 원단입니다! 쫀쫀하고 부들부들 거려서 빨아도 변형이 거의 없는 그런 원단 ㅋㅋ 몸에 감기는 느낌 ㅋㅋ 디자인은 팔이 생각보다 짧은데 이건 제 어깨가 넓어서 더 그렇게 보이는 걸수도 ..길이는 생각보다는 많이 안짧아요!
15840,,21.08.09,White,free,생각보다 커요,보통이에요,화면과 비슷해요,166cm,52kg,상의 44,"모두 무보정입니다!!!!
기본 흰 티가 급해서 샀어요! 가격도 저렴하고, 사고 보니 제가 진짜 10개도 넘게 있는 보세 브랜드의 티셔츠라더라고용ㅎㅡㅎ 크롭 스타일 좋아하시는 분이면 이 옷 꽤 있으실 거예용
제가 허리가 긴편이고 키도 작지 않은데 배꼽 가릴랑 말랑 했어요! 저보다 키 작거나 허리 짧으신 분들읏 좀 긴 크롭 느낌일 거예용 스판기도 좋고, 너무 타이트하지 않아서 적당히 몸 예뻐보여요! 검은색 브라 입었을 때 비침 저 정도랍니당 히히
지금 품절인데 입고되면 다른 색도 사고 싶어욧"
sq0tHCNi,,21.05.11,White,,정사이즈예요,보통이에요,화면과 비슷해요,174cm,58kg,상의 66,우선 면재질의 티셔츠에 스판이 있어서 몸매보정이 되면서 밑에 와이드 팬츠 입으니까 너무 금 상 첨 화 !! 진짜 이런 기본템은 어디에 받쳐입어도 200프로 활용율안데 옷 질감도 좋아요~ 길이가 크롭까진 아니지만 그래도 하이웨스트랑 입으면 좋을것 같아요!
nA0rWes9,,21.05.01,White,,정사이즈예요,아주 만족해요,화면과 비슷해요,171cm,47kg,상의 44,이너로 입기 딱 좋은 듯 흰 색 비친다길래 검은색 사려고 했는데 엥 이게 머람 별로 비치지도 않음 가격 좋고 처음에 식초 냄새 나는 건 다 그러는 듯 세탁하고 입으세용 글고 겨드랑이 가려 줌 검은색도 하나 살걸
당근모찌,상위 15%,24.09.01,White,,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,41kg,상의 44,"골지 티 몸에 딱 붙는 핏이에요. 
단독으로 입어도 몸매가 굉장히 부각되고
이너로 입어도 은근히 부각되서 몸매자랑(?)하기 아주 좋아요. 가슴부분 파임도 심하지 않고 적당해서 기본으로 입기 아주 좋아요!!"
eWRqsvjQ,,24.04.19,반팔/White,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,가슴이 너무 파인것같아 걱정했는데 모델님들이 왕찌찌 언니들이라 그런거였어요 가슴이 매우 겸손한 저는 그런 걱정 할 필요가 없었네요 구겨지지 않는 원단이고 세탁 편할거같고 붙는 느낌도 좋고 팔 들어도 겨드랭이 안보여서 좋습니당
