아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
0C0lNEjm,,24.04.21,오트밀,블랙(1장 더 구매시 추가할인!),작아요,아주 만족해요,화면과 비슷해요,166cm,50kg,상의 55,"잘 입으면(=불편하게 입으면) 부유방 제로!!
잘 못입으면(=편하게 입으면) 유방이 두개!!

부유방이 정말 부(세컨) 유방이라는 사실을 처음 알았습니다ㅎㅎ 저는 부유방이 별로 없는 편인데도 말이죠
(y보단 좁고 r정도? 있음)
아무래도 옷이 굉장히 타이트하게 나와서 몸을 조이면서 부유방이 가려지기도, 과해지기도 하나 봅니다ㅎㅎ

<구매 동기에 따른 추천 여부>
추천: 부유방 커버만 된다면 불편함은 감수하겠다!!!
만족: 흉통이 매우 작고 몸에 딱붙는 민소매를 입고 싶다
보통: 셔츠를 오픈하고 안에 니트 소재의 이너를 입고 싶다
비추천: 팔을 자주 쓰는 경우, 어찌저찌 부찌찌를 잘 집어넣어도 팔을 쓰다보면 어느샌가 이놈이 또 가출을..ㄷㄷ

그래서 전 재구매 의사 10%미만입니다?ㅎㅎ"
chob******,상위 10%,24.03.27,크림,살구베이지(1장 더 구매시 -2000원 할인!),작아요,보통이에요,화면과 비슷해요,163cm,53kg,상의 44,"음... 색감은 솔직히 인정이에요
나시가 흔한 색상은 기본템이어도 은근히 안 예쁜데 요건 다 예뻐용 쿨톤,웜톤만 맞추면 되는 정도!

근데... 그냥 입으면 첫번째 사진처럼 부유방 정리 잘 되지만..손 한번 번쩍 들었다 내리면 두번째처럼..부유방 부자가 되는...ㅠㅠㅠ 골격보시면 알겠지만 그렇게 살집 많은 편 아니거든요...모델처럼 마른 편은 아니어도 나름 날씬한 편인데... 참고하세요 다들!"
zC8nP50u,상위 20%,24.11.23,블랙,오트밀(1장 더 구매시 추가할인),정사이즈예요,보통이에요,화면과 비슷해요,155cm,48kg,상의 55,팔 한번 들고나면 부유방은 다시 빠져나갑니다. 이너로 입을거라 괜찮지만 살짝 불편한 느낌이 없지않아 있습니니다. 어깨끈이 금방 늘어날 것 같기도 해요. 블랙이 오트밀보다 길이와 넓이가 살짝씩 더 크지만 입었을 때 차이는 별로 없습니다. 오트밀이 색감이 예뻐서 맘에 들어요.
qmpDwzd9,,24.04.01,크림,살구베이지(1장 더 구매시 -2000원 할인!),정사이즈예요,보통이에요,화면보다 어두워요,,,,"상세페이지 사진과는 다르게 분홍기 전혀 없는게 정상상품이라고 하시는 군요! 사진과 적당히 다른건 대개 잘 받아들이는데 이건 좀 정도가 심한 것같아요. 사진과는 아주 달라도 못입을 색은 아니에요.


어두운데서 찍어서 색감이 잘안보이지만, 확실히 분홍톤은 아니거든요....비닐도 살구베이지라고와서, 상세페이지랑 다르게 분홍끼가 안도네? 뭐 귀찮으니까 그냥 입어야겠다고 생각하면서 구매확정하고 다른 분 리뷰도 다시 보니까....확실히 다른 색상이 배송왔네여...에휴... 어쩔 수 없죠... 포장만 보고 대충 확정해서....실망스러워요 ㅠㅠ 무드카키?색상이 온것같아요. 베이지인듯 톤이 베이지 아닌 그런 색상이라..예상과는 다르지만 이게 살구베이지인가? 긴가민가하면서 걍 확정했거든요... 다른 분들은 포장지만보고 실수 안하셨으면 좋겠네요."
킹캉,상위 25%,24.04.19,크림,살구베이지(1장 더 구매시 -2000원 할인!),정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,45kg,상의 44,"믿고 사는 퍼빗 메이드👼🏻🤍 
부유방 부자라 나시 단독으로 절대 못 입는데 에브리데이는 진짜 부유방 삭제 시켜주네요••🫶🏻 윗가슴 없는 체형이라 일반 나시는 몇 번 입으면 늘어나고 고개 숙이면 속이 다 보여서 입기 힘들었는데ㅠㅠ 극강의 쫀쫀함이라 오래오래 계속 예쁜 핏으로 입을 것 같아요! 사장님처럼 네즈 자켓에 입어도 찰떡입니당😻 쉐딩 스커트에 입으면 여리여리 데이트룩으로 최강이에요🫧☁️ 입어보시면 퀄리티에 놀라실 거라 - 처음부터 1+1으로 두장 구매하는 거 추천드려요!"
DgYiBcye,,24.02.03,소프 오트,블랙(1장 더 구매시 -2000원 할인!),정사이즈예요,보통이에요,화면과 비슷해요,160cm,57kg,상의 55,사진에 보이는 것보다 잘늘어나서 나름 불편하지 않게 입을수 있어요. 가슴부분이 일자마감이라 골 안보여서 부담없이 자켓안에 받혀 입을수 있겟더라구요. 좋아요
bapqgf,,23.09.24,화이트,소프오트(1장 더 구매시 -2000원 할인!),정사이즈예요,보통이에요,화면과 비슷해요,162cm,48kg,상의 55,가디건이랑 입으면 뭔가 어랏 노출이 조금 많나..? 싶은데 자켓이랑 입으면 딱임요. 쫜쫜하고 좋음. 개인적으로 화이트보다 오트밀 색상이 아주 맘에 듭니다. 연한 회색같은 느낌으로 굿굿
라라랄라랄,,23.09.20,화이트,1장만 구매,정사이즈예요,보통이에요,화면과 비슷해요,171cm,59kg,상의 55,"스위이드 자켓에 같이 입으려고 구매했어요
결론은 대만족입니다~!
나시가 거기서 거기라고 생각했는데 아니예요!
쫀쫀하게 뱃살 잘 잡아주고 부유방도 커버됩니다
가슴이 큰 편인데 눌리지도 않고 골이 너무 많이 보이지도 않고 적당히 섹시한 느낌이에요
길이도 적당하구
재질도 좋아보여요 오래 입을 수 있을 것 같아요~"
KppQWNDF,,24.08.30,오트밀,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,48kg,상의 55,"쫀쫀해서 좋아요!
부유방은 잘 가려주긴 하는데
움직이면 자꾸 삐져나오긴(?) 합니다.
옷 안으로 넣어줘야 하긴 함..
그래도 저는 단독으로 입기 보다는 위에 뭐 걸칠 용도로 구매한거라 만족해요!"
CiK7NUen,상위 5%,24.04.21,크림,블랙(1장 더 구매시 -2000원 할인!),정사이즈예요,보통이에요,화면과 비슷해요,,,,1+1 추가할인 할때 구매했는데 기본 나시템으로 좋아요! 질도 좋고 잘 잡아줘서 노출 싫어하시는 분들께 강추해요! 너무 하얀 건 언더웨어 같을까봐 크림으로 주문했는데 이너 티 용도로 딱 좋았어요~
VtMa8SS6,상위 10%,24.04.20,크림,블랙(1장 더 구매시 추가할인!),정사이즈예요,보통이에요,화면과 비슷해요,165cm,55kg,상의 55,"이너 필요해서 주문했는데 부유방 부각 안되게 어깨끈 짱짱하니 좋네요
크림말고 아이보리류 시킬껄 그랬는지 약간 후회 ㅎㅎ 색은 이쁜데 저는 아이보리가 더 잘받네요
크림색 참고하시라고 비교샷 올려봅니당"
쑥쑤기,상위 5%,24.04.16,오트밀,화이트(1장 더 구매시 추가할인!),작아요,아주 만족해요,화면과 비슷해요,156cm,45kg,상의 55,"배송이 꽤나 늦더라고요,,? 급한건 아니라 상관은 없었어요ㅎㅎ
모델분 핏이 넘넘 예뽀서 샀는데 ,,
제 덩치를 간과했군요 ! 입느라 조금 힘들었어요.. 
근데 입으면 또 쫀쫀하니 편하고 좋아요 🫶🏻
소재가 조금 더운 소재이긴 한데 여름까지 계속 입을 수 있을 거 같아요 !! 
화이트는 비침있어서 이너로 입어야겠고, 오트밀은 색감 넘 맘에 쏙들어서 단독으로 입을 수 있겠어용 ><🤍"
NMLabHpS,,24.04.15,살구베이지,크림(1장 더 구매시 -2000원 할인!),정사이즈예요,보통이에요,화면과 비슷해요,164cm,56kg,상의 55,"부유방 가려주는 나시라 해서 세일가로 샀는데 꽤 잘 산 것 같아요. 겨쪽이 살짝 타이트하긴 하지만 길이도 딱이고 옷도 탄탄해요. 살짝 늘어날 거 같긴 하지만! 색감이 정말 예쁘네용 크림색은 무난하게 여기저기 입기 좋은 색감이라 좋아요. 세벌이나 사서 여름에 뽕 뽑을 것 같아용👍🏻
밑단이 늘어나지만 않기를~"
thsr******,,24.04.12,오트밀,화이트(1장 더 구매시 -2000원 할인!),정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,62kg,상의 55,"4월쯤 구매했는데 그때부터 지금까지 저의 교복템입니다!! 특히 여름에는 나시를 입어줘야 해요ㅠㅠ 오트밀색 정말 이쁘고 흰색도 어디든지 입어주기 좋아서 활용도가 높았어요~! 170/65, 바스트가 있는편인데 잘 맞고 기장도 괜찮았어요! 재구매 의사 있어요🫶🏻"
MPgKMjBj,상위 30%,24.04.09,오트밀,살구베이지(1장 더 구매시 -2000원 할인!),정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,43kg,상의 44,핏 완전 예쁘지 않나요...!! 암홀이 좁아서 부유방 삭제되는 핏 입니다 :) 원래 나시 단독으로 안 입는데 컬러감이며 핏이며 너무 '이너' 같지 않고 꾸민 느낌 나서 단독으로도 입고 다닐 것 같아요 ㅠㅠ 색감 너무 예쁜데 핏도 잘 잡아주네요..최고..
꿀슈,상위 15%,24.04.06,오트밀,크림(1장 더 구매시 추가할인!),정사이즈예요,보통이에요,화면과 비슷해요,162cm,52kg,상의 55,"튼튼한거 같긴해요 ㅎㅎ 근데 크림색은 크림색 아닌거 같이 와서 좀 놀랫는데 (그냥포장지로 봣을 땐 살구색 살색
같아서 )
입으니깐 음 색이 좀 괜탆네용 ..! 
ㅋㅋㅋ 
1+1에 가격도 괜찮고 배송은 쏘쏘 입니다 ㅎㅎ"
꾸미다꾸,탑리뷰어,24.03.26,화이트,크림(1장 더 구매시 -2000원 할인!),정사이즈예요,보통이에요,화면과 비슷해요,161cm,49kg,상의 55,"짱짱해서 좋아요! 레이어드용으로 화이트,크림 구매했는데 둘 다 활용하기 좋은 컬러이고 무엇보다 가슴쪽이 들뜨지 않고 잘 잡아주니 노출 신경 안 써도 돼서 좋아요~ 넣입도 빼입도 적당한 길이감이라 2장 사길 잘했다 싶어요 ◡̎ 

겨주름이 있는편이라 부유방 완전 제거! 이건 아니지만 다른 나시들보단 부각이 적은편이라 만족해요!"
UayE8qKb,상위 1%,24.03.22,화이트,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,46kg,상의 44,"일단 숙였을 때 속옷 안보일정도로 짱짱한 이너로 입을 나시를 찾고 있었는데 순위가 높아서 구매했습니당 

결과는 대 만족입니다 짱짱해서 부유방도 다 커버되고 신축성이 좋아서 불편한 느낌도 없습니다 그리고 딱 가디건 입었을때 살짝 보이는 느낌이 좋네용 저렴한 나시 같지 않고 또 레이스도 없어서 단정해 보여 아주 만족 합니당 검정색 추가 구매 할 거 같내요 ㅎ"
bSspiSbh,상위 20%,24.05.21,화이트,1장만 구매,작아요,아주 만족해요,화면과 비슷해요,176cm,54kg,상의 55,"흉통작고 마른체형인데 타이트하게 쫀쫀하니 잘 맞아요 
근데 요즘은 나시도 짧게 나오네요. 배꼽이 다 보일랑. 말랑 키가 커서 그런가요 뭐 이너로 입을 거니까 상관 없는데 부유방에 신경을 써서 그런지 끈이 어깨 끝으로 타이트하게 조여 지기는 해요. 좋은 후기들 보고 사서 완전 대만족 합니다."
쇼망데일리룩,상위 5%,24.04.09,크림,1장만 구매,정사이즈예요,보통이에요,화면과 비슷해요,163cm,50kg,상의 55,"자켓에 이너 코디하신게 넘 예뻐서 
세트로 입으려고 샀는데 맘에 듭니다!💗
이너 웜톤 컬러라 저에겐 너무너무 잘 맞았구요!
자켓+스커트까지 색감 너무 잘 맞아서
다들 셋업이냐고 물어봤어요! 
요 룩으로 벚꽃 예쁘게 보고 왔어요🌸
감사합니다 퍼빗 첫 구매 성공이예요🫶🏻"
이토깽,상위 1%,24.04.06,블랙,크림(1장 더 구매시 -2000원 할인!),작아요,보통이에요,화면과 비슷해요,155cm,49kg,상의 55,"부유방을 가려준대서 반신반의하며 구매했는데 팩ㅌ
였어요ㅎㅎ 부유방은 진짜 잘 가려줍니다ㅎㅎ 신기!!
작년에 여름용 자켓을 잔뜩 사놨는데 이거 입고 자켓 걸치면 딱일거 같아요ㅎㅎ 근데.. 사이즈 자체가 너무 작은거 같아요ㅜㅜ 입고 벗을때 약간 불편해요ㅜㅜ 마르신 분들은 그럴일 없겠지만요...ㅠㅠ 옷 지체가 쫀쫀하긴 엄청 쫀쫀해요!"
sVORzdM5,,23.09.25,소프오트,free,정사이즈예요,아주 만족해요,화면과 비슷해요,153cm,46kg,상의 44,"쫀쫀하고, 색감 독특하면서 예쁘고, 은근 도톰해서 좋아요! 자켓이나 셔츠나 웬만한 아우터랑 다 어울립니다 지금 날씨에 딱이에요~
한가지 아쉬운 점은 사진처럼 웬만한 속옷 어깨끈보다 끈 사이가 넓어서 속옷을 잘 입어야 한다는 점인데 어차피 이너로 입을 거라 괜찮아요 ㅎㅎ"
DL1wg2JG,,23.08.31,크림,소프오트(1장 더 구매시 -2000원 할인!),정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,58kg,상의 66,"올 여름이 너무 더워서, 나시에 셔츠 입고 다니고 싶어서 구매했는데, 너무 만족해요! 부유방 가려진다길래 안믿었지만 어차피 겉옷 입고 다닐 거 색감이 너무 맘에 들어서 구매했는데, 다른 나시보단 확실히 부유방 가려주는 타입🤍

이번에 더더욱 느꼈지만 퍼빗은 크림색을 기깔나게 뽑는 것 같아요☺️ 아이보리, 화이트는 어울리지 않는 가을웜_딥톤이라서 아주 만족합니댜! 
ㄴ상품 각자 사진이 2번째가 크림이고, 3번째 사진이 소프오트색인데, 둘다 얼굴이 둥둥 떠다니는 색감이 아니라서 완전 찰떡입니다! 이너로 입기에 특히나 좋아요! 겉옷이 보통 화려하거나 어둡기 때문에^_^

**제 스펙은 169/57에 상의55반-66 입는 타입인데 낑기거나 힘들거나 하는 느낌 못받았고 신축성도 좋았어요! 

기장은 제가 허리가 긴 타입인데도 배꼽티도 박스티도 안되는 딱 편한 기장이예요! 완전한 크롭은 아니란 소리! 바지로 따지면 약간 세미로우 느낌?! 넣어서도 빼서도 이쁜 기장입니다!

소재도 한 번 입고 버릴 타입 아님. 특히 입었을 때, 소재도 만족합니다! 부드러워요! 진짜 만족합니다!!! 이너로 휘뚜루마뚜루에 마르신 분들이라면 단독으로도 무조건 가능한 재질과 핏이예요!"
오징어다리일곱개,상위 5%,24.09.12,크림,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,55kg,상의 55,"니트치마와 샅이 입으려고 구매 했습니다
쫀쫀해서 허리 라인도 잘 잡아주고
겨드랑이쪽이 쪼이지가 않아 답답함이 전혀 없어요
부유방 커퍼핏 나시 잘못사면 
간혹 겨드랑이 닿는부분이 너무 쪼이고 답답한 경우 있었는데
퍼핏 나시는 부유방도 적당히 잘 가려주고 불편한 착용감이 아니네요 👍🏻"
YOFgTBTv,상위 10%,24.08.25,화이트,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,50kg,상의 55,자켓 안에 이너로 입으려고 구매했어요! 세장째입니다. 크림-블랙-아이보리까지...! 질도 좋구 아이보리는 속옷이 조금 비치긴하지만 이너로 입으려고 구입한거라 괜찮고 크림-블랙은 색만 맞춰서 속옷 입어주면 비침없어서 좋아요~ 아주 쫀쫀햐서 색 돌려가며 잘입고 있습니다
hJhgLUUe,,24.08.22,오트밀,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,40kg,상의 44,"화면이랑 똑같고 유튜브 보고 구매했어요 🤍
자켓 셔츠 니트 가디건 원피스 이너로 유용하고 입으면 접혀서 살짝 아쉽지만 오트밀 생각보다 어디에 다 잘어올려요 :) 안에 속옷은 일반 브라보다 오프숄더 전용 브라나 누브라 입으신거 추천드려요!! 배송도 빠르구 내년에 출시할때 안에 캡 장착해서 보완하면 더 좋을것 같습니다 !!"
RHzHi1Zl,,24.08.12,오트밀,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,51kg,상의 44,"베이지색 셔츠 안에 입을 이너가 급하게 필요해서 직진배속 시켰는데 빨리와서 바로 다음날 입고 나왔어요 
일단 색이 아주아주 맘에 듭니다!! 
파임도 적당해서 답답해보이지 않고 그렇다고 노출이 많을거 같지도 않네요 
쫀쫀하고 너무 얇지 않아 검은색 속옷을 입어도 비치지 않아요 
이너로 왕추천입니다"
gowl****,,24.08.08,오트밀,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,55kg,상의 55,"쫀쫀하니 부유방 없애주는 신기한 나시입니다
다만 부유방은 없어졌지만 겨드랑이가 고통받고있네요..그래도 옷핏 생각하면 이정도쯤이야하고 넘어갑니다 가격대비 재질도 좋아요 데일리로 잘 입을듯^^!!"
2RnT6mqJ,,24.07.22,무드카키,블랙(1장 더 구매시 추가할인!),정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,43kg,상의 44,"무드카키, 블랙 두가지샀는데 진짜 너무 좋네요👍
이번에만 벌써 한 3번째 사는거 같아요 
매년 여름에 사서 일년정도입고 새로 사고 
여름에 제일 강추하는 템입니다!"
thgu******,,24.05.07,오트밀,1장만 구매,작아요,아주 만족해요,화면과 비슷해요,166cm,70kg,상의 66,"여름에 얇은 가디건, 볼레로, 셔츠 안에 입을만한 뮤트한 색상의 핏 예쁜 나시 찾다가 발견한 퍼빗 나시!! 
콤플렉스인 부유방 잘 가려주고 색감 너무 예뻐서 너무 만족해요ㅠㅠ♥"
UmVnEKtM,,24.04.17,크림,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,53kg,상의 44,"168,53 
타이트 한데 불편하지 않고 색상이 너무 이뻐서 이너로 받춰입기 조아써요 
이가격에 이 퀄리티라니,, 역시 퍼빗
다른 컬러두 사고싶어용 ㅜㅡㅜ"
ag37xBSU,상위 25%,24.04.02,화이트,무드카키(1장 더 구매시 -2000원 할인!),정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,50kg,상의 44,나시는 여름에 꼭 필수템인데 요거 나시 오래입을 것 같아요!! ☺️☺️ 가슴골이 훤히 보이지 않아서 좋은 거 같구 재질리 튼튼해요 ㅎㅎ 다른색상도 사려구욤 !🩷
eCG2nLUW,상위 30%,24.11.16,오트밀,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,46kg,상의 55,"안에 이너로 입기 좋아요 깊은 파임 없이 잘 입을 수 있을거 같아요 도톰하니 좋네요!! 
길이 선택 가능해서 좋고 쫀쫀하니 잘 늘어나요"
oksTCYTi,상위 15%,24.10.30,크림,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,49kg,상의 55,"퍼빗 니트랑 매치해서 같이 입으려고 샀어요!
아이보리랑 크림 중에 고민 많이 했는데 크림 사길 잘한 것 같아요 ㅎㅎ
핏도 좋구 굳입니당!!"
ObCiahgT,,24.10.27,크림,오트밀(1장 더 구매시 추가할인),작아요,보통이에요,화면과 비슷해요,151cm,39kg,상의 44,"되게 쫀쫀해서 좀 쪼이는감이 없지 않아 있어요 ㅋㅋ
그래도 타이트해서 흘러내리거나 하지않고 고정은 잘 되네요 기본템으로 받쳐입기 좋아요"
y7ZAwd56,,24.09.08,오트밀,화이트(1장 더 구매시 추가할인!),정사이즈예요,보통이에요,화면과 비슷해요,163cm,45kg,상의 44,"오트밀이랑 화이트 구매했는데
오트밀 색 완전 마음에 들어요
쫀쫀하고 여기저기 받쳐입기 좋은것 같아요
배송은 느렸지만 예뻐요"
k6moYC5G,상위 15%,24.06.17,화이트,1장만 구매,작아요,보통이에요,화면과 비슷해요,163cm,52kg,상의 55,"생각보다 많이 작아서 놀랬어요 !!!
그만큼 진짜 탄탄하게 잘 잡아주기는 하는데, 또 그만큼 탄탄해서 엇 많이 쪼이는데,,,? 싶기도 합니다 !!
몸매 강조하시고 싶을 때 입어주시면 딱 좋을 것 같긴 해요 !!"
mewa*****,,24.09.19,오트밀,1장만 구매,정사이즈예요,보통이에요,화면과 비슷해요,159cm,47kg,상의 55,뽀얀 오트밀일거라 생각했는데 노란끼도는 오트밀이에요! 처음에 노란끼가 많이 돌아서 반품할까도 걱정했었는데 입어보니깐 핏이 잘 맞아서 품으려고요😊
YOFgTBTv,상위 10%,24.07.09,블랙,1장만 구매,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,50kg,상의 55,이전에 크림색으로 구매해서 지금도 잘입고있어서 이번엔 블랙으로 구매했어요! 아주 쫀쫀하고 기장도 너무 길지도 짧지도 않아서 바지에 살짝 넣어 있을수 있어요! 반팔 자켓안에 이너로 입기 아주 좋아요~
yi94****,상위 30%,24.06.26,크림,블랙(1장 더 구매시 추가할인!),정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,56kg,상의 55,버터색감이 너무 예뻐요. 딱 원하는 색감이랑 만족스럽고 신축성도 좋아서 편합니다. 적당한 두깨감에 너무 짧지 않는 기장이라서 여름에 입기에도 괜찮고 부드러워서 맨살에 닿는 느낌이 좋아요. 잘 구매한거 같습니다~
